# Generated: 2026-04-23T10:03:40.073Z
# Source page: https://tracinginsights.com/
# Event: Japanese Grand Prix
# Session: Race
# Year: 2026
# Notes: Values are in SI units unless specified. Missing fields are empty.
# Status legend:
#   1 = Track Clear - Normal racing conditions
#   2 = Yellow Flag - Caution period, no overtaking in affected sector
#   4 = Safety Car - All cars follow safety car
#   5 = Red Flag - Session stopped, return to pits
#   6 = Virtual Safety Car - Maintain minimum lap time
#   7 = VSC Ending - Normal racing about to resume
# Options: fuelCorrection=off, includeAllColumns=on
# Drivers: ALB, ALO, ANT, BEA, BOR, BOT, COL, GAS, HAD, HAM, HUL, LAW, LEC, LIN, NOR, OCO, PER, PIA, RUS, SAI, STR, VER
LAP,ALB_TIME,ALB_POSITION,ALB_POSITION_CHANGE,ALB_COMPOUND,ALB_STINT,ALB_PITSTOP,ALB_TIRE_LIFE,ALB_S1,ALB_S2,ALB_S3,ALB_SECTOR_SUM,ALB_STATUS,ALB_PERSONAL_BEST,ALO_TIME,ALO_POSITION,ALO_POSITION_CHANGE,ALO_COMPOUND,ALO_STINT,ALO_PITSTOP,ALO_TIRE_LIFE,ALO_S1,ALO_S2,ALO_S3,ALO_SECTOR_SUM,ALO_STATUS,ALO_PERSONAL_BEST,ANT_TIME,ANT_POSITION,ANT_POSITION_CHANGE,ANT_COMPOUND,ANT_STINT,ANT_PITSTOP,ANT_TIRE_LIFE,ANT_S1,ANT_S2,ANT_S3,ANT_SECTOR_SUM,ANT_STATUS,ANT_PERSONAL_BEST,BEA_TIME,BEA_POSITION,BEA_POSITION_CHANGE,BEA_COMPOUND,BEA_STINT,BEA_PITSTOP,BEA_TIRE_LIFE,BEA_S1,BEA_S2,BEA_S3,BEA_SECTOR_SUM,BEA_STATUS,BEA_PERSONAL_BEST,BOR_TIME,BOR_POSITION,BOR_POSITION_CHANGE,BOR_COMPOUND,BOR_STINT,BOR_PITSTOP,BOR_TIRE_LIFE,BOR_S1,BOR_S2,BOR_S3,BOR_SECTOR_SUM,BOR_STATUS,BOR_PERSONAL_BEST,BOT_TIME,BOT_POSITION,BOT_POSITION_CHANGE,BOT_COMPOUND,BOT_STINT,BOT_PITSTOP,BOT_TIRE_LIFE,BOT_S1,BOT_S2,BOT_S3,BOT_SECTOR_SUM,BOT_STATUS,BOT_PERSONAL_BEST,COL_TIME,COL_POSITION,COL_POSITION_CHANGE,COL_COMPOUND,COL_STINT,COL_PITSTOP,COL_TIRE_LIFE,COL_S1,COL_S2,COL_S3,COL_SECTOR_SUM,COL_STATUS,COL_PERSONAL_BEST,GAS_TIME,GAS_POSITION,GAS_POSITION_CHANGE,GAS_COMPOUND,GAS_STINT,GAS_PITSTOP,GAS_TIRE_LIFE,GAS_S1,GAS_S2,GAS_S3,GAS_SECTOR_SUM,GAS_STATUS,GAS_PERSONAL_BEST,HAD_TIME,HAD_POSITION,HAD_POSITION_CHANGE,HAD_COMPOUND,HAD_STINT,HAD_PITSTOP,HAD_TIRE_LIFE,HAD_S1,HAD_S2,HAD_S3,HAD_SECTOR_SUM,HAD_STATUS,HAD_PERSONAL_BEST,HAM_TIME,HAM_POSITION,HAM_POSITION_CHANGE,HAM_COMPOUND,HAM_STINT,HAM_PITSTOP,HAM_TIRE_LIFE,HAM_S1,HAM_S2,HAM_S3,HAM_SECTOR_SUM,HAM_STATUS,HAM_PERSONAL_BEST,HUL_TIME,HUL_POSITION,HUL_POSITION_CHANGE,HUL_COMPOUND,HUL_STINT,HUL_PITSTOP,HUL_TIRE_LIFE,HUL_S1,HUL_S2,HUL_S3,HUL_SECTOR_SUM,HUL_STATUS,HUL_PERSONAL_BEST,LAW_TIME,LAW_POSITION,LAW_POSITION_CHANGE,LAW_COMPOUND,LAW_STINT,LAW_PITSTOP,LAW_TIRE_LIFE,LAW_S1,LAW_S2,LAW_S3,LAW_SECTOR_SUM,LAW_STATUS,LAW_PERSONAL_BEST,LEC_TIME,LEC_POSITION,LEC_POSITION_CHANGE,LEC_COMPOUND,LEC_STINT,LEC_PITSTOP,LEC_TIRE_LIFE,LEC_S1,LEC_S2,LEC_S3,LEC_SECTOR_SUM,LEC_STATUS,LEC_PERSONAL_BEST,LIN_TIME,LIN_POSITION,LIN_POSITION_CHANGE,LIN_COMPOUND,LIN_STINT,LIN_PITSTOP,LIN_TIRE_LIFE,LIN_S1,LIN_S2,LIN_S3,LIN_SECTOR_SUM,LIN_STATUS,LIN_PERSONAL_BEST,NOR_TIME,NOR_POSITION,NOR_POSITION_CHANGE,NOR_COMPOUND,NOR_STINT,NOR_PITSTOP,NOR_TIRE_LIFE,NOR_S1,NOR_S2,NOR_S3,NOR_SECTOR_SUM,NOR_STATUS,NOR_PERSONAL_BEST,OCO_TIME,OCO_POSITION,OCO_POSITION_CHANGE,OCO_COMPOUND,OCO_STINT,OCO_PITSTOP,OCO_TIRE_LIFE,OCO_S1,OCO_S2,OCO_S3,OCO_SECTOR_SUM,OCO_STATUS,OCO_PERSONAL_BEST,PER_TIME,PER_POSITION,PER_POSITION_CHANGE,PER_COMPOUND,PER_STINT,PER_PITSTOP,PER_TIRE_LIFE,PER_S1,PER_S2,PER_S3,PER_SECTOR_SUM,PER_STATUS,PER_PERSONAL_BEST,PIA_TIME,PIA_POSITION,PIA_POSITION_CHANGE,PIA_COMPOUND,PIA_STINT,PIA_PITSTOP,PIA_TIRE_LIFE,PIA_S1,PIA_S2,PIA_S3,PIA_SECTOR_SUM,PIA_STATUS,PIA_PERSONAL_BEST,RUS_TIME,RUS_POSITION,RUS_POSITION_CHANGE,RUS_COMPOUND,RUS_STINT,RUS_PITSTOP,RUS_TIRE_LIFE,RUS_S1,RUS_S2,RUS_S3,RUS_SECTOR_SUM,RUS_STATUS,RUS_PERSONAL_BEST,SAI_TIME,SAI_POSITION,SAI_POSITION_CHANGE,SAI_COMPOUND,SAI_STINT,SAI_PITSTOP,SAI_TIRE_LIFE,SAI_S1,SAI_S2,SAI_S3,SAI_SECTOR_SUM,SAI_STATUS,SAI_PERSONAL_BEST,STR_TIME,STR_POSITION,STR_POSITION_CHANGE,STR_COMPOUND,STR_STINT,STR_PITSTOP,STR_TIRE_LIFE,STR_S1,STR_S2,STR_S3,STR_SECTOR_SUM,STR_STATUS,STR_PERSONAL_BEST,VER_TIME,VER_POSITION,VER_POSITION_CHANGE,VER_COMPOUND,VER_STINT,VER_PITSTOP,VER_TIRE_LIFE,VER_S1,VER_S2,VER_S3,VER_SECTOR_SUM,VER_STATUS,VER_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
1,105.225,17,,MEDIUM,1,FALSE,1,,44.394,18.51,,1,FALSE,107.044,20,,MEDIUM,1,FALSE,1,,45.219,18.453,,1,FALSE,98.784,6,,MEDIUM,1,FALSE,1,,42.42,17.942,,1,FALSE,104.406,16,,MEDIUM,1,FALSE,1,,44.063,18.181,,1,FALSE,102.93,13,,MEDIUM,1,FALSE,1,,43.476,18.277,,1,FALSE,107.837,21,,HARD,1,FALSE,1,,45.366,18.503,,1,FALSE,103.16,14,,MEDIUM,1,FALSE,1,,43.59,18.238,,1,FALSE,99.651,7,,MEDIUM,1,FALSE,1,,42.579,18.221,,1,FALSE,100.293,8,,MEDIUM,1,FALSE,1,,42.839,18.232,,1,FALSE,98.386,5,,MEDIUM,1,FALSE,1,,42.171,18.146,,1,FALSE,106.149,19,,MEDIUM,1,FALSE,1,,44.711,18.748,,1,FALSE,102.498,12,,MEDIUM,1,FALSE,1,,43.518,18.242,,1,FALSE,96.36,2,,MEDIUM,1,FALSE,1,,41.648,18.305,,1,FALSE,100.66,9,,MEDIUM,1,FALSE,1,,43.187,18.012,,1,FALSE,97.206,3,,MEDIUM,1,FALSE,1,,42.011,18.104,,1,FALSE,101.913,11,,MEDIUM,1,FALSE,1,,43.267,18.305,,1,FALSE,105.73,18,,MEDIUM,1,FALSE,1,,44.598,18.524,,1,FALSE,95.268,1,,MEDIUM,1,FALSE,1,,41.939,18.112,,1,FALSE,97.823,4,,MEDIUM,1,FALSE,1,,42.185,18.12,,1,FALSE,103.908,15,,MEDIUM,1,FALSE,1,,43.831,18.356,,1,FALSE,108.234,22,,MEDIUM,1,FALSE,1,,45.723,18.803,,1,FALSE,101.273,10,,MEDIUM,1,FALSE,1,,43.038,18.111,,1,FALSE
2,97.418,17,0,MEDIUM,1,FALSE,2,36.274,42.995,18.149,97.418,1,FALSE,98.589,20,0,MEDIUM,1,FALSE,2,36.281,43.758,18.55,98.589,1,FALSE,94.475,5,1,MEDIUM,1,FALSE,2,34.437,42.202,17.836,94.475,1,FALSE,96.402,15,1,MEDIUM,1,FALSE,2,35.357,42.813,18.232,96.402,1,FALSE,97.158,13,0,MEDIUM,1,FALSE,2,35.531,42.947,18.68,97.15800000000002,1,FALSE,99.358,22,-1,HARD,1,FALSE,2,36.952,43.767,18.639,99.35799999999999,1,FALSE,97.218,14,0,MEDIUM,1,FALSE,2,35.765,43.056,18.397,97.21799999999999,1,FALSE,95.436,7,0,MEDIUM,1,FALSE,2,34.955,42.458,18.023,95.43599999999999,1,FALSE,98.261,10,-2,MEDIUM,1,FALSE,2,36.047,43.462,18.752,98.261,1,FALSE,95.496,6,-1,MEDIUM,1,FALSE,2,35.461,42.16,17.875,95.496,1,FALSE,98.019,19,0,MEDIUM,1,FALSE,2,36.377,43.395,18.247,98.019,1,FALSE,97.029,12,0,MEDIUM,1,FALSE,2,35.662,43.287,18.08,97.029,1,FALSE,95.126,2,0,MEDIUM,1,FALSE,2,34.987,42.055,18.084,95.126,1,FALSE,96.174,8,1,MEDIUM,1,FALSE,2,35.265,42.825,18.084,96.174,1,FALSE,94.905,3,0,MEDIUM,1,FALSE,2,34.856,42.12,17.929,94.905,1,FALSE,96.654,11,0,MEDIUM,1,FALSE,2,35.386,42.561,18.707,96.654,1,FALSE,97.947,18,0,MEDIUM,1,FALSE,2,36.405,43.1,18.442,97.947,1,FALSE,94.949,1,0,MEDIUM,1,FALSE,2,34.349,42.319,18.281,94.94900000000001,1,FALSE,94.87,4,0,MEDIUM,1,FALSE,2,34.783,42.088,17.999,94.87,1,FALSE,97.798,16,-1,MEDIUM,1,FALSE,2,36.606,43.083,18.109,97.798,1,FALSE,98.369,21,1,MEDIUM,1,FALSE,2,35.693,44.13,18.546,98.369,1,FALSE,96.628,9,1,MEDIUM,1,FALSE,2,35.473,42.663,18.492,96.628,1,FALSE
3,97.464,17,0,MEDIUM,1,FALSE,3,35.871,43.24,18.353,97.464,1,FALSE,98.501,20,0,MEDIUM,1,FALSE,3,36.233,43.723,18.545,98.50099999999999,1,FALSE,95.536,5,0,MEDIUM,1,FALSE,3,35.282,42.109,18.145,95.53599999999999,1,FALSE,97.62,14,1,MEDIUM,1,FALSE,3,35.971,43.452,18.197,97.62,1,FALSE,98.924,15,-2,MEDIUM,1,FALSE,3,36.703,43.978,18.243,98.924,1,FALSE,98.311,22,0,HARD,1,FALSE,3,36.764,43.112,18.435,98.311,1,FALSE,97.204,13,1,MEDIUM,1,FALSE,3,35.945,42.899,18.36,97.204,1,FALSE,95.809,7,0,MEDIUM,1,FALSE,3,35.072,42.628,18.109,95.809,1,FALSE,97.193,11,-1,MEDIUM,1,FALSE,3,36.171,42.961,18.061,97.19300000000001,1,FALSE,95.394,6,0,MEDIUM,1,FALSE,3,35.125,42.265,18.004,95.394,1,FALSE,96.53,18,1,MEDIUM,1,FALSE,3,35.342,43.085,18.103,96.53,1,FALSE,97.03,12,0,MEDIUM,1,FALSE,3,35.782,43.152,18.096,97.03,1,FALSE,95.105,2,0,MEDIUM,1,FALSE,3,35.159,41.807,18.139,95.105,1,FALSE,96.233,8,0,MEDIUM,1,FALSE,3,35.347,42.792,18.094,96.233,1,FALSE,96.301,4,-1,MEDIUM,1,FALSE,3,36.026,42.108,18.167,96.301,1,FALSE,96.094,10,1,MEDIUM,1,FALSE,3,35.745,42.33,18.019,96.094,1,FALSE,98.292,19,-1,MEDIUM,1,FALSE,3,36.754,43.188,18.35,98.292,1,FALSE,94.999,1,0,MEDIUM,1,FALSE,3,34.51,42.299,18.19,94.999,1,FALSE,94.469,3,1,MEDIUM,1,FALSE,3,34.607,41.961,17.901,94.469,1,FALSE,97.881,16,0,MEDIUM,1,FALSE,3,36.168,43.519,18.194,97.881,1,FALSE,98.229,21,0,MEDIUM,1,FALSE,3,36.126,43.543,18.56,98.229,1,FALSE,95.854,9,0,MEDIUM,1,FALSE,3,35.305,42.498,18.051,95.854,1,FALSE
4,98.076,18,-1,MEDIUM,1,FALSE,4,36.825,43.011,18.24,98.07600000000001,1,FALSE,98.517,20,0,MEDIUM,1,FALSE,4,36.319,43.615,18.583,98.517,1,FALSE,95.523,5,0,MEDIUM,1,FALSE,4,34.978,42.457,18.088,95.523,1,FALSE,96.663,14,0,MEDIUM,1,FALSE,4,35.617,42.79,18.256,96.663,1,FALSE,97.014,15,0,MEDIUM,1,FALSE,4,35.653,43.147,18.214,97.014,1,FALSE,98.484,22,0,HARD,1,FALSE,4,36.706,43.152,18.626,98.48400000000001,1,FALSE,96.549,13,0,MEDIUM,1,FALSE,4,35.661,42.701,18.187,96.54899999999999,1,FALSE,95.899,7,0,MEDIUM,1,FALSE,4,35.07,42.607,18.222,95.899,1,FALSE,96.017,11,0,MEDIUM,1,FALSE,4,35.16,42.698,18.159,96.017,1,FALSE,95.805,6,0,MEDIUM,1,FALSE,4,35.248,42.422,18.135,95.80499999999999,1,FALSE,96.632,17,1,MEDIUM,1,FALSE,4,35.458,42.956,18.218,96.632,1,FALSE,96.522,12,0,MEDIUM,1,FALSE,4,35.415,42.828,18.279,96.52199999999999,1,FALSE,96.431,3,-1,MEDIUM,1,FALSE,4,35.751,42.366,18.314,96.43099999999998,1,FALSE,96.039,8,0,MEDIUM,1,FALSE,4,35.296,42.736,18.007,96.039,1,FALSE,95.451,4,0,MEDIUM,1,FALSE,4,35.147,42.19,18.114,95.451,1,FALSE,95.956,10,0,MEDIUM,1,FALSE,4,35.434,42.395,18.127,95.956,1,FALSE,97.934,19,0,MEDIUM,1,FALSE,4,36.36,42.981,18.593,97.93400000000001,1,FALSE,95.136,1,0,MEDIUM,1,FALSE,4,34.595,42.378,18.163,95.136,1,FALSE,94.772,2,1,MEDIUM,1,FALSE,4,34.436,42.195,18.141,94.77199999999999,1,FALSE,97.39,16,0,MEDIUM,1,FALSE,4,36.109,42.996,18.285,97.39,1,FALSE,98.587,21,0,MEDIUM,1,FALSE,4,36.248,43.686,18.653,98.58699999999999,1,FALSE,95.867,9,0,MEDIUM,1,FALSE,4,35.056,42.81,18.001,95.867,1,FALSE
